,종목이름,종목코드,21_1Q_매출액,21_1Q_영업이익,21_1Q_순이익,21_2Q_매출액,21_2Q_영업이익,21_2Q_순이익,21_3Q_매출액,21_3Q_영업이익,21_3Q_순이익,21_4Q_매출액,21_4Q_영업이익,21_4Q_순이익,22_1Q_매출액,22_1Q_영업이익,22_1Q_순이익
303,F&F홀딩스,[007700],8011589603.0,775356447.0,1333289202.0,8816263417.0,1628849731.0,5536804554.0,145000000000.0,47162247463.0,35817304865.0,565000000000.0,173000000000.0,124000000000.0,438000000000.0,137000000000.0,95169185323.0
304,대명소노시즌,[007720],23261711841.0,-7609865235.0,-9662456665.0,36107779445.0,-2837873867.0,-5643110880.0,35914499244.0,-5244676768.0,-5807766161.0,55106730658.0,-5189524215.0,-1603911518.0,31857500959.0,-6924160788.0,-6909344834.0
305,한일화학,[007770],25677381221.0,905605107.0,1096889285.0,29461098139.0,1420262275.0,946208277.0,27774186147.0,-323113463.0,2458542.0,31015066728.0,-1501241649.0,20648011741.0,37585801231.0,711062983.0,336913846.0
306,코리아써키트,[007810],297000000000.0,7719823989.0,7152754046.0,306000000000.0,151057522.0,-1439633590.0,406000000000.0,35835137395.0,32688316677.0,415000000000.0,41406820564.0,33794268303.0,411000000000.0,31170965540.0,25940093583.0
307,에스엠코어,[007820],16654700922.0,-327657913.0,705698815.0,15946666434.0,-333442858.0,-354497110.0,20641156368.0,-485271854.0,395092285.0,23115625109.0,-1342871559.0,-1324744976.0,20499548761.0,98116370.0,293250100.0
308,서연,[007860],588000000000.0,24055634914.0,7764208467.0,610000000000.0,26908190688.0,23827228098.0,577000000000.0,18164542381.0,26170120787.0,704000000000.0,14548788529.0,-13486981340.0,680000000000.0,29542959210.0,32116346266.0
309,태평양물산,[007980],172000000000.0,-4448150868.0,-9358798201.0,193000000000.0,-2928051041.0,-7173212491.0,294000000000.0,7887358725.0,561057634.0,234000000000.0,864219138.0,1949857280.0,239000000000.0,5192780934.0,-4307486588.0
311,사조동아원,[008040],95465247118.0,5192196953.0,25501987.0,105000000000.0,6962405256.0,6011448108.0,108000000000.0,3451661385.0,-4626467228.0,104000000000.0,3503837507.0,2591670439.0,117000000000.0,5790015037.0,960971787.0
312,대덕,[008060],326000000000.0,5513914967.0,16629994586.0,319000000000.0,13424058064.0,9947499136.0,353000000000.0,23288838267.0,24932327371.0,373000000000.0,24972732068.0,2685182249.0,410000000000.0,42751438504.0,38022639010.0
313,대동전자,[008110],10590351421.0,168505988.0,232423345.0,11980241435.0,1525308028.0,2051778261.0,11066193381.0,322120838.0,5657167111.0,6169973024.0,1028047495.0,-4737126256.0,11066193381.0,322120838.0,5657167111.0
314,이건산업,[008250],61439062098.0,9209633055.0,6470843651.0,73006150599.0,13616779282.0,6212446706.0,65372708501.0,6605160236.0,3007223920.0,77012232014.0,2704296125.0,-4028501211.0,78636374788.0,7493316683.0,5757180266.0
315,NI스틸,[008260],48740720134.0,6080993827.0,4379340116.0,63604681880.0,7309273540.0,5283792390.0,61020315831.0,7124557086.0,5003097982.0,74847031618.0,10686607142.0,7388576764.0,78215012187.0,15084327029.0,11225080933.0
316,원풍물산,[008290],6717803679.0,-475452506.0,-442941583.0,7973685870.0,-739667749.0,-1556439129.0,4936677086.0,-203163925.0,-309191018.0,11242822230.0,125864039.0,-7020283238.0,7613736821.0,24902194.0,-70473663.0
317,남선알미늄,[008350],60008421113.0,-525768026.0,6889714725.0,63809344036.0,-437635453.0,14635711594.0,58747961721.0,-1541442581.0,14910893327.0,47777809722.0,-4407389626.0,5252272035.0,57033508592.0,-2327307405.0,10037905827.0
318,원풍,[008370],21299569653.0,1121751190.0,1404037015.0,21658031680.0,785721000.0,935783066.0,21757430151.0,547061267.0,1281242468.0,24202938404.0,1478244898.0,1555202433.0,23845236343.0,2466037834.0,2411778060.0
319,문배철강,[008420],46929138918.0,5489074256.0,6606042441.0,60081272745.0,8927758731.0,9254391007.0,51611374702.0,3129778132.0,3961618197.0,46251481176.0,3236503553.0,5554022813.0,56231092968.0,3523017698.0,8171768471.0
320,부스타,[008470],22655942547.0,-103324672.0,787941742.0,23071133993.0,-11191276.0,221671995.0,23510983566.0,-214212924.0,-43242529.0,28989004926.0,314723284.0,1297661876.0,20116383013.0,85947024.0,304082050.0
321,서흥,[008490],164000000000.0,22522204361.0,19517923575.0,155000000000.0,23008767504.0,20244875592.0,145000000000.0,11739987214.0,9717347188.0,133000000000.0,12332666356.0,9814990149.0,164000000000.0,17958428559.0,14956554258.0
322,일정실업,[008500],11689286689.0,-1232471577.0,-1207624231.0,6992431349.0,-736611908.0,-651021991.0,7878412487.0,-1837611260.0,-1853025468.0,5233089464.0,-4295162761.0,-3741920755.0,8733224536.0,-1691051796.0,-1729263973.0
323,윌비스,[008600],72119530277.0,3309694508.0,-760932345.0,68820764065.0,445862620.0,-7699740826.0,73024363417.0,-601557805.0,-741057236.0,62518403122.0,1234625446.0,669634898.0,70607121687.0,2260676703.0,528934402.0
324,아남전자,[008700],76948291.0,2852217.0,2239425.0,66041734.0,1519917.0,1223499.0,80077998.0,2482892.0,2379604.0,91369306.0,6370121.0,5765078.0,79366437.0,4819051.0,4147331.0
325,율촌화학,[008730],135000000000.0,3966117790.0,3417536060.0,136000000000.0,2525923965.0,1714181148.0,134000000000.0,953620293.0,794124610.0,134000000000.0,3574747496.0,2526747895.0,136000000000.0,-3106712734.0,-2652308387.0
326,호텔신라,[008770],727000000000.0,26572929515.0,-1499973040.0,953000000000.0,46382530482.0,12047681523.0,969000000000.0,20863566263.0,-1163795329.0,1130000000000.0,24992501911.0,17675457084.0,1090000000000.0,15140006808.0,-7681175823.0
328,대동기어,[008830],54620804688.0,3023405145.0,2206582970.0,55293203195.0,2595551887.0,1476332759.0,43456059517.0,1118938194.0,559685993.0,49541574671.0,772620059.0,518892591.0,57501768788.0,2822863457.0,1629667967.0
329,금비,[008870],56512501943.0,1262962817.0,-1150764340.0,52912472435.0,5685601450.0,7724127339.0,61464378654.0,3331303067.0,2743480369.0,57691821415.0,-383176804.0,-4150897121.0,55067051628.0,-484614649.0,555746894.0
330,한미사이언스,[008930],215000000000.0,13674902752.0,11612021385.0,235000000000.0,13720381568.0,10776959738.0,236000000000.0,18523752662.0,16127501891.0,263000000000.0,12933253720.0,4423440250.0,252000000000.0,19645138889.0,16971304527.0
331,동양철관,[008970],49714648879.0,697475834.0,759763854.0,31361867588.0,-2094437489.0,-2673697358.0,37641286717.0,-2291388783.0,-1699251380.0,63303402068.0,456901913.0,-159966903.0,57420601972.0,1142000795.0,524686106.0
332,KCTC,[009070],149000000000.0,4274358194.0,3089082657.0,163000000000.0,8663068306.0,6386466102.0,175000000000.0,8498116494.0,7160724099.0,208000000000.0,8167962905.0,4688635553.0,216000000000.0,10910305909.0,9092447081.0
333,경인전자,[009140],5686017347.0,348121208.0,817228061.0,5161845366.0,490190061.0,600684048.0,9630349419.0,1012685142.0,1463512227.0,6912456515.0,147764678.0,818434881.0,5829597779.0,183738068.0,-70947037.0
334,삼성전기,[009150],2370000000000.0,331000000000.0,243000000000.0,2480000000000.0,339000000000.0,235000000000.0,2690000000000.0,458000000000.0,353000000000.0,2140000000000.0,358000000000.0,247000000000.0,2620000000000.0,411000000000.0,322000000000.0
335,SIMPAC,[009160],97965365499.0,9422148336.0,10998325306.0,142000000000.0,18377566050.0,18962118438.0,140000000000.0,26436503367.0,25767010066.0,233000000000.0,52165318710.0,35105408817.0,197000000000.0,49760729972.0,39315015202.0
336,한솔로지스틱스,[009180],155000000000.0,5265024800.0,3717908289.0,173000000000.0,15261347017.0,16219447957.0,183000000000.0,8019743500.0,5052520254.0,236000000000.0,1758698998.0,-1497379313.0,268000000000.0,11669440152.0,8215464180.0
337,대양금속,[009190],39572005485.0,1323518721.0,1859419189.0,44901724637.0,2592223380.0,1824134086.0,57282988599.0,5106455166.0,4577507713.0,61667182915.0,6165811811.0,6982357358.0,68951947165.0,10188800396.0,9458549049.0
338,무림페이퍼,[009200],243000000000.0,-9818427543.0,-9792504903.0,279000000000.0,27446277270.0,17239602141.0,232000000000.0,5572523326.0,-2032290349.0,301000000000.0,6609282051.0,-5005249201.0,284000000000.0,6744655286.0,-2913806772.0
339,한샘,[009240],553000000000.0,25158693964.0,19865496608.0,569000000000.0,27745182500.0,25063907821.0,536000000000.0,22607590889.0,16371571325.0,574000000000.0,-6247206921.0,-4082788904.0,526000000000.0,10011115304.0,17525342029.0
340,신원,[009270],188000000000.0,4188897506.0,4394952095.0,211000000000.0,5085524002.0,344935356.0,238000000000.0,6093854129.0,2062830722.0,243000000000.0,6270925209.0,3713184301.0,271000000000.0,11722123734.0,7769328853.0
341,광동제약,[009290],294000000000.0,8510882286.0,6893075260.0,333000000000.0,9196568157.0,2499866198.0,350000000000.0,14916493933.0,9280763322.0,361000000000.0,12311739127.0,6867039957.0,312000000000.0,8961882559.0,8423983038.0
342,삼아제약,[009300],10224202046.0,-411677026.0,-427152913.0,14291665385.0,1529306678.0,164915873.0,12215100300.0,1214917899.0,618169072.0,17935407143.0,3715667086.0,3035596111.0,19195642423.0,4842726692.0,3181747989.0
343,참엔지니어링,[009310],51731530042.0,-731707191.0,982988322.0,29696688510.0,-1511358275.0,-2989502713.0,42887827519.0,2848709341.0,3541153255.0,26246932100.0,2017406943.0,-2668201921.0,8039534355.0,-3109979373.0,-3769177563.0
344,대우부품,[009320],21906067793.0,480018516.0,601389192.0,25499950547.0,1099224076.0,849056667.0,24493380127.0,282392474.0,-408485137.0,27284264737.0,-783430726.0,-1082418236.0,26805324305.0,683815170.0,195297248.0
345,태영건설,[009410],512000000000.0,44090139398.0,26124999553.0,598000000000.0,52009237035.0,11122111318.0,519000000000.0,39045677593.0,19628539460.0,1120000000000.0,39402258571.0,8551519891.0,583000000000.0,28313112659.0,21844288251.0
346,한올바이오파마,[009420],27798732999.0,5395661093.0,4525554115.0,23436965357.0,1571910491.0,3261157828.0,25473743967.0,2207172166.0,2059768628.0,24885001368.0,924375087.0,-950343395.0,23987414152.0,-591911448.0,-82775896.0
347,KC그린홀딩스,[009440],145000000000.0,115068948.0,4888729103.0,183000000000.0,7546720665.0,13949583382.0,175000000000.0,7983975278.0,6378836610.0,248000000000.0,4758190380.0,-15423528020.0,192000000000.0,-1761415237.0,-1146876142.0
348,경동나비엔,[009450],233000000000.0,24192031176.0,24382640357.0,246000000000.0,19626852521.0,34488733245.0,263000000000.0,12741349274.0,17068545215.0,361000000000.0,7735286118.0,4717754000.0,294000000000.0,21293478686.0,19092891270.0
349,한창제지,[009460],42957377047.0,4686620782.0,3554298497.0,44152741832.0,5643515658.0,5046789765.0,44105211884.0,4092249344.0,3337715055.0,50994308107.0,3340191982.0,3082862666.0,53427656825.0,3085305772.0,2547449772.0
350,삼화전기,[009470],58635232532.0,5312042905.0,3980523790.0,66570139407.0,7356323473.0,5717073599.0,62647693055.0,6551731777.0,4354140017.0,59245430135.0,2602402692.0,1415216413.0,64807285776.0,3686302939.0,2711128740.0
351,포스코엠텍,[009520],70435859472.0,2727664435.0,2271456137.0,72602637545.0,2926172174.0,2271013113.0,86966567339.0,5218243575.0,4159605963.0,93873294724.0,5503678621.0,4362034777.0,92182292802.0,5540928203.0,4258879359.0
